monster_code,OverrideNameTextID,NamePrefixID,OverridePartnerSkillTextID,IsPal,Tribe,BPClass,ZukanIndex,ZukanIndexSuffix,Size,Rarity,ElementType1,ElementType2,GenusCategory,Organization,weapon,WeaponEquip,HP,MeleeAttack,ShotAttack,Defense,Support,CraftSpeed,EnemyReceiveDamageRate,CaptureRateCorrect,ExpRatio,Price,AIResponse,AISightResponse,SlowWalkSpeed,WalkSpeed,RunSpeed,RideSprintSpeed,TransportSpeed,IsBoss,IsTowerBoss,BattleBGM,IgnoreLeanBack,IgnoreBlowAway,MaxFullStomach,FullStomachDecreaseRate,FoodAmount,ViewingDistance,ViewingAngle,HearingRate,NooseTrap,Nocturnal,BiologicalGrade,Predator,Edible,Stamina,MaleProbability,CombiRank,WorkSuitability_EmitFlame,WorkSuitability_Watering,WorkSuitability_Seeding,WorkSuitability_GenerateElectricity,WorkSuitability_Handcraft,WorkSuitability_Collection,WorkSuitability_Deforest,WorkSuitability_Mining,WorkSuitability_OilExtraction,WorkSuitability_ProductMedicine,WorkSuitability_Cool,WorkSuitability_Transport,WorkSuitability_MonsterFarm,PassiveSkill1,PassiveSkill2,PassiveSkill3,PassiveSkill4
GYM_BlackGriffon,PAL_NAME_SnowBoss,GYM_NAME_Snow,PARTNERSKILL_lackGriffon,True,EPalTribeID::BlackGriffon,GYM_BlackGriffon,-2,,EPalSizeType::XL,10,EPalElementType::Dark,EPalElementType::None,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,False,8000,130,200,220,90,100,1.0,1.0,30.0,9060.0,Warlike,None,80,80,850,1100,465,True,True,EPalBattleBGMType::TowerBoss,True,True,525,1.0,8,25,90,1.0,False,True,9,False,True,100,100,9999,0,0,0,0,0,1,0,0,0,0,0,0,0,None,None,None,None
GYM_ElecPanda,PAL_NAME_GrassBoss,GYM_NAME_Meadow,PARTNERSKILL_lecPanda,True,EPalTribeID::ElecPanda,GYM_ElecPanda,-2,,EPalSizeType::XL,8,EPalElementType::Electricity,EPalElementType::None,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,False,6000,100,100,100,100,100,1.0,1.0,30.0,6610.0,Warlike,None,80,140,470,650,287,True,True,EPalBattleBGMType::TowerBoss,True,True,475,1.0,6,25,90,1.0,False,False,9,True,True,100,0,9999,0,0,0,3,2,0,2,0,0,0,0,3,0,None,None,None,None
GYM_Horus,PAL_NAME_DessertBoss,GYM_NAME_Desert,PARTNERSKILL_orus,True,EPalTribeID::Horus,GYM_Horus,-2,,EPalSizeType::XL,9,EPalElementType::Fire,EPalElementType::None,EPalGenusCategoryType::Bird,EPalOrganizationType::None,EPalWeaponType::None,False,6500,100,120,125,90,100,1.0,1.0,30.0,6720.0,Warlike,None,150,200,1000,1300,500,True,True,EPalBattleBGMType::TowerBoss,True,True,525,1.0,8,25,90,1.0,False,False,9,False,True,100,100,9999,3,0,0,0,0,0,0,0,0,0,0,3,0,None,None,None,None
GYM_LilyQueen,PAL_NAME_ForestBoss,GYM_NAME_Forest,PARTNERSKILL_ilyQueen,True,EPalTribeID::LilyQueen,GYM_LilyQueen,-2,,EPalSizeType::XL,9,EPalElementType::Leaf,EPalElementType::None,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,False,5500,100,110,105,100,100,1.0,1.0,30.0,6510.0,Warlike,None,60,100,450,650,275,True,True,EPalBattleBGMType::TowerBoss,True,True,475,1.0,6,25,90,1.0,False,False,9,False,True,100,0,9999,0,0,3,0,2,2,0,0,0,3,0,0,0,None,None,None,None
GYM_ThunderDragonMan,PAL_NAME_VolcanoBoss,GYM_NAME_Volcano,PARTNERSKILL_hunderDragonMan,True,EPalTribeID::ThunderDragonMan,GYM_ThunderDragonMan,-2,,EPalSizeType::XL,9,EPalElementType::Dragon,EPalElementType::Electricity,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,False,6500,100,140,110,100,100,1.0,1.0,30.0,8320.0,Warlike,None,100,185,900,1300,542,True,True,EPalBattleBGMType::TowerBoss,True,True,475,1.0,7,25,90,1.0,False,False,9,False,True,100,100,9999,0,0,0,3,2,0,0,0,0,0,0,3,0,None,None,None,None
BadCatgirl,None,None,None,True,EPalTribeID::BadCatgirl,BadCatgirl,-1,,EPalSizeType::XL,0,EPalElementType::Dark,EPalElementType::None,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,False,100,100,90,90,100,100,1.0,1.0,1.0,4690.0,Warlike,None,-1,-1,-1,-1,-1,False,False,EPalBattleBGMType::Cute,False,False,225,1.0,3,25,90,1.0,False,True,0,False,True,100,50,0,0,0,0,0,2,3,1,0,0,0,0,2,0,None,None,None,None
BlueberryFairy,None,None,None,True,EPalTribeID::BlueberryFairy,BlueberryFairy,-1,,EPalSizeType::XL,0,EPalElementType::Leaf,EPalElementType::Dark,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,False,100,100,100,100,100,100,1.0,1.0,1.0,8200.0,Escape_to_Battle,None,-1,-1,-1,-1,-1,False,False,EPalBattleBGMType::Cute,False,False,225,1.0,3,25,90,1.0,False,False,0,False,True,100,50,0,0,0,2,0,1,2,0,0,0,3,0,1,0,None,None,None,None
BOSS_Alpaca,PAL_NAME_Alpaca,BOSS_NAME_Alpaca,PARTNERSKILL_Alpaca,True,EPalTribeID::Alpaca,BOSS_Alpaca,-1,,EPalSizeType::XL,3,EPalElementType::Normal,EPalElementType::None,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,False,90,90,90,90,100,100,0.4,0.7,10.0,3040.0,NotInterested,None,62,62,460,900,261,True,False,EPalBattleBGMType::FieldBoss,False,False,225,1.0,3,25,90,1.0,False,False,9,False,True,100,50,890,0,0,0,0,0,0,0,0,0,0,0,0,1,None,None,None,None
BOSS_AmaterasuWolf,PAL_NAME_AmaterasuWolf,BOSS_NAME_AmaterasuWolf,PARTNERSKILL_AmaterasuWolf,True,EPalTribeID::AmaterasuWolf,BOSS_AmaterasuWolf,-1,,EPalSizeType::XL,6,EPalElementType::Fire,EPalElementType::None,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,False,100,70,115,100,110,100,0.2,0.7,10.0,3170.0,Boss,None,80,130,700,1000,415,True,False,EPalBattleBGMType::FieldBoss,False,False,300,1.0,4,25,90,1.0,False,False,9,True,True,100,50,830,2,0,0,0,0,0,0,0,0,0,0,0,0,None,None,None,None
Boss_Anubis,PAL_NAME_Anubis,BOSS_NAME_Anubis,PARTNERSKILL_Anubis,True,EPalTribeID::Anubis,Boss_Anubis,-1,,EPalSizeType::XL,10,EPalElementType::Earth,EPalElementType::None,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,False,120,130,130,100,100,100,0.2,0.7,10.0,9190.0,Boss,None,80,160,800,1000,480,True,False,EPalBattleBGMType::FieldBoss,False,False,400,1.0,6,25,90,1.0,False,False,9,True,True,100,50,570,0,0,0,0,4,0,0,3,0,0,0,2,0,ElementBoost_Earth_2_PAL,None,None,None
