Item,OverrideName,OverrideDescription,IconName,TypeA,TypeB,Rank,Rarity,MaxStackCount,Weight,Price,SortID,bInTreasureBox,bNotConsumed,bEnableHandcraft,TechnologyTreeLock,ItemStaticClass,ItemDynamicClass,ItemActorClass,ItemStaticMeshName,VisualBlueprintClassName,VisualBlueprintClassSoft,DropItemType,Editor_RowNameHash,RestoreSatiety,RestoreConcentration,RestoreSanity,RestoreHealth,GrantEffect1Id,GrantEffect1Time,GrantEffect2Id,GrantEffect2Time,GrantEffect3Id,GrantEffect3Time,Durability,ElementType,bSleepWeapon,MagazineSize,SneakAttackRate,PhysicalAttackValue,HPValue,PhysicalDefenseValue,ShieldValue,MagicAttackValue,MagicDefenseValue,PassiveSkillName,WazaID,CorruptionFactor,FloatValue1
Money,None,None,Money,EPalItemTypeA::Material,EPalItemTypeB::Money,1,0,99999999,0.0,1,0,False,True,False,0,None,None,None,None,BP_Item_CoinGold,"{'AssetPathName': '/Game/Pal/Blueprint/Item/VisualModel/BP_Item_CoinGold.BP_Item_CoinGold_C', 'SubPathString': ''}",EPalDropItemType::None,-177975809,0,0,0,0,0,0.0,0,0.0,0,0.0,0,EPalElementType::None,False,0,1.0,0,0,0,0,0,0,None,EPalWazaID::None,0.0,0.0
AnimalSkin,None,None,AnimalSkin,EPalItemTypeA::Material,EPalItemTypeB::MaterialMonster,1,0,9999,1.0,140,9999,False,True,False,0,None,None,None,None,None,"{'AssetPathName': 'None', 'SubPathString': None}",EPalDropItemType::None,176638415,0,0,0,0,0,0.0,0,0.0,0,0.0,0,EPalElementType::None,False,0,1.0,0,0,0,0,0,0,None,EPalWazaID::None,0.0,0.0
AnimalSkin2,None,None,AnimalSkin2,EPalItemTypeA::Material,EPalItemTypeB::MaterialMonster,1,1,9999,3.0,10,9999,False,True,False,0,None,None,None,None,None,"{'AssetPathName': 'None', 'SubPathString': None}",EPalDropItemType::None,45975976,0,0,0,0,0,0.0,0,0.0,0,0.0,0,EPalElementType::None,False,0,1.0,0,0,0,0,0,0,None,EPalWazaID::None,0.0,0.0
Arrow,None,None,Arrow,EPalItemTypeA::Ammo,EPalItemTypeB::ConsumeBullet,1,0,9999,0.025,5,10,False,True,False,0,None,None,None,None,BP_Item_Arrow,"{'AssetPathName': '/Game/Pal/Blueprint/Item/VisualModel/BP_Item_Arrow.BP_Item_Arrow_C', 'SubPathString': ''}",EPalDropItemType::None,-1257143899,0,0,0,0,0,0.0,0,0.0,0,0.0,0,EPalElementType::None,False,0,1.0,0,0,0,0,0,0,None,EPalWazaID::None,0.0,0.0
Arrow_Poison,None,None,Arrow_Poison,EPalItemTypeA::Ammo,EPalItemTypeB::ConsumeBullet,1,0,9999,0.025,15,11,False,True,False,0,None,None,None,None,BP_Item_Arrow,"{'AssetPathName': '/Game/Pal/Blueprint/Item/VisualModel/BP_Item_Arrow.BP_Item_Arrow_C', 'SubPathString': ''}",EPalDropItemType::None,-1287465056,0,0,0,0,0,0.0,0,0.0,0,0.0,0,EPalElementType::None,False,0,1.0,0,0,0,0,0,0,None,EPalWazaID::None,0.0,0.0
Arrow_Fire,None,None,Arrow_Fire,EPalItemTypeA::Ammo,EPalItemTypeB::ConsumeBullet,1,0,9999,0.025,15,12,False,True,False,0,None,None,None,None,BP_Item_Arrow,"{'AssetPathName': '/Game/Pal/Blueprint/Item/VisualModel/BP_Item_Arrow.BP_Item_Arrow_C', 'SubPathString': ''}",EPalDropItemType::None,-1609926899,0,0,0,0,0,0.0,0,0.0,0,0.0,0,EPalElementType::None,False,0,1.0,0,0,0,0,0,0,None,EPalWazaID::None,0.0,0.0
AssaultRifle_Default1,None,None,AssaultRifle_Default,EPalItemTypeA::Weapon,EPalItemTypeB::WeaponAssaultRifle,3,0,1,15.0,82400,520,False,True,False,0,CommonWeapon,CommonWeapon,NormalRifle,None,BP_Item_AssaultRifle_Default1,"{'AssetPathName': '/Game/Pal/Blueprint/Item/VisualModel/BP_Item_AssaultRifle_Default1.BP_Item_AssaultRifle_Default1_C', 'SubPathString': ''}",EPalDropItemType::None,1920620766,0,0,0,0,0,0.0,0,0.0,0,0.0,3000,EPalElementType::None,False,20,1.0,320,0,0,0,0,0,None,EPalWazaID::None,0.0,0.0
Scales,None,None,Scales,EPalItemTypeA::Material,EPalItemTypeB::MaterialMonster,1,0,9999,0.5,10,9999,False,True,False,0,None,None,None,None,None,"{'AssetPathName': 'None', 'SubPathString': None}",EPalDropItemType::None,-729030625,0,0,0,0,0,0.0,0,0.0,0,0.0,0,EPalElementType::None,False,0,1.0,0,0,0,0,0,0,None,EPalWazaID::None,0.0,0.0
Scales2,None,None,Scales2,EPalItemTypeA::Material,EPalItemTypeB::MaterialMonster,1,1,9999,0.5,10,9999,False,True,False,0,None,None,None,None,None,"{'AssetPathName': 'None', 'SubPathString': None}",EPalDropItemType::None,-1964883044,0,0,0,0,0,0.0,0,0.0,0,0.0,0,EPalElementType::None,False,0,1.0,0,0,0,0,0,0,None,EPalWazaID::None,0.0,0.0
Axe_Tier_00,None,None,Axe_Default,EPalItemTypeA::Weapon,EPalItemTypeB::WeaponMelee,1,0,1,10.0,200,110,False,True,False,0,CommonWeapon,CommonWeapon,Axe_Tier_00,None,None,"{'AssetPathName': 'None', 'SubPathString': None}",EPalDropItemType::None,-1774399867,0,0,0,0,0,0.0,0,0.0,0,0.0,150,EPalElementType::None,False,0,1.0,20,0,0,0,0,0,None,EPalWazaID::None,0.0,0.0
